"website_id","entity_id","sku","type_id","has_options","shiping_price"
1,219021,"FC01763080","simple",0,""
1,219022,"FC01763097","simple",0,""
1,219023,"FC01763134","simple",0,""
1,219024,"FC01763103","simple",0,""
1,219025,"FC01763127","simple",0,""
1,219026,"FC01763165","simple",0,""
1,219027,"FC01763196","simple",0,""
1,219028,"FC01763202","simple",0,""
1,219029,"FC01763189","simple",0,""
1,219030,"FC01763219","simple",0,""
1,219031,"FC01763226","simple",0,""
1,219032,"FC01763257","simple",0,""
1,219033,"FC01763233","simple",0,""
1,219034,"FC01763240","simple",0,""
1,219035,"FC01752435","simple",0,""
1,219036,"FC01752442","simple",0,""
1,219037,"FC01752459","simple",0,""
1,219038,"FC01752466","simple",0,""
1,219039,"FC01752473","simple",0,""
1,219040,"FC01752480","simple",0,""
1,219041,"FC01752497","simple",0,""
1,219042,"FC01752503","simple",0,""
1,219043,"FC01752510","simple",0,""
1,219044,"FC01752527","simple",0,""
1,219045,"FC01752534","simple",0,""
1,219046,"FC01752541","simple",0,""
1,219047,"FC01752558","simple",0,""
1,219048,"FC01752565","simple",0,""
1,219049,"FC01752572","simple",0,""
1,219050,"FC01752589","simple",0,""
1,219051,"FC01752596","simple",0,""
1,219052,"FC01752602","simple",0,""
1,219053,"FC01752619","simple",0,""
1,219054,"FC01752626","simple",0,""
